Actual,Forecast
46223.0,47800.934
51080.0,51780.523
60906.0,59070.117
67014.0,66948.375
69739.0,68956.74
70303.0,69903.56
70951.0,71307.445
72527.0,71517.33
71810.0,72066.72
71155.0,71093.58
70177.0,70304.39
69617.0,69721.21
68898.0,69923.39
71380.0,69948.91
71663.0,72126.37
70027.0,70013.47
65932.0,66519.49
61036.0,62315.973
57853.0,57571.82
53395.00000000001,54505.945
51345.00000000001,50219.117
49718.0,49823.785
48665.0,49116.203
49548.00000000001,48892.95
51457.0,51475.254
54419.0,56296.695
61629.0,60678.2
67043.0,67533.695
69210.0,69484.43
69226.0,69739.74
70075.0,70278.57
71133.0,70811.75
70590.0,70923.56
69916.0,69817.39
68387.0,69249.7
68366.0,68204.016
68435.0,69645.1
71576.0,70047.38
71451.0,71767.9
69188.0,68942.52
64650.0,65468.594
60634.0,61143.418
57204.0,57331.08
53733.0,53813.277
51913.0,50886.824
49923.0,50274.87
48841.0,49130.445
48725.0,48716.883
49881.0,49691.836
52256.00000000001,53550.766
57816.00000000001,57499.62
61957.0,63661.77
64413.99999999999,65304.188
64428.00000000001,66021.28
64730.0,65666.81
65888.0,65506.137
65040.0,66136.125
63669.0,64290.88
62259.0,62833.688
61511.0,62311.06
61852.00000000001,62847.22
64752.0,63821.402
64666.0,65912.805
63070.0,62902.14
59671.99999999999,60241.66
56635.0,56629.715
53311.0,53618.31
49765.0,50099.773
46561.0,47182.27
44567.0,44709.996
43684.0,43671.133
44006.0,43346.617
44911.0,44736.06
46420.0,47012.242
49536.0,49889.19
52507.0,54084.207
54190.00000000001,55996.24
56545.00000000001,56153.535
57143.0,58078.688
58716.0,57310.832
59096.00000000001,58519.457
57327.0,58175.96
55933.0,55600.227
56323.0,55165.36
56924.0,57376.594
60306.0,57841.54
61968.00000000001,60529.312
60641.0,59728.24
57090.0,57007.457
54404.00000000001,53661.125
51872.99999999999,51337.22
48135.0,48640.766
44991.0,45328.734
43451.0,43082.504
42612.0,42712.54
43349.0,42600.79
45307.0,44897.38
48911.0,49262.742
55983.0,55231.758
60817.0,62576.504
63009.00000000001,64509.652
63871.0,64927.52
64602.99999999999,65873.47
64600.0,65859.91
64479.0,64708.008
62891.0,64079.15
61395.0,62065.96
60349.0,61083.785
60512.0,61231.73
64248.00000000001,62225.938
64255.00000000001,65295.19
62318.0,61918.45
58527.0,58814.176
55160.00000000001,55083.746
52701.0,51800.273
49006.0,49264.992
46599.0,46152.29
44825.0,45084.598
43776.0,43985.527
43777.0,43470.715
44401.0,44434.65
45036.0,46853.555
46470.0,48373.64
48970.0,50087.273
52177.0,52397.22
54689.0,54855.316
55959.0,56058.996
56668.00000000001,56144.645
55935.0,56291.39
54040.0,54830.4
53077.99999999999,52492.457
52575.00000000001,52685.16
53711.0,53039.39
57764.0,55027.1
