,Actual,Forecast,Lower95,Upper95
2020-02-02 00:00:00+00:00,60839.19642857143,69393.9320546318,56592.57205581949,82195.29205344412
2020-02-09 00:00:00+00:00,60259.83928571428,69912.56923967494,56850.35495769058,82974.7835216593
2020-02-16 00:00:00+00:00,60845.125,69495.56474748366,56150.01347486931,82841.11602009801
2020-02-23 00:00:00+00:00,59787.32738095238,69436.07810661544,55811.17147882964,83060.98473440125
2020-03-01 00:00:00+00:00,58899.13690476191,71563.80938577768,57658.676428430015,85468.94234312535
2020-03-08 00:00:00+00:00,58688.47023809524,68167.1529844983,53965.93211617778,82368.37385281883
2020-03-15 00:00:00+00:00,58534.23809523809,69477.22278131591,54981.239005285366,83973.20655734645
2020-03-22 00:00:00+00:00,55372.744047619046,69305.41747290628,54512.065617805674,84098.76932800689
2020-03-29 00:00:00+00:00,53471.982142857145,64677.47723534283,49575.21117527518,79779.74329541047
2020-04-05 00:00:00+00:00,52845.267857142855,64075.983380132886,48664.35295783279,79487.61380243298
2020-04-12 00:00:00+00:00,47210.88690476191,65075.87439755177,49351.41441032,80800.33438478355
2020-04-19 00:00:00+00:00,47415.69642857143,63986.69140422501,47940.668569416186,80032.71423903383
2020-04-26 00:00:00+00:00,50172.41666666666,65138.41351343772,48769.223875453696,81507.60315142175
2020-05-03 00:00:00+00:00,48161.90476190476,62758.35087908452,46062.164071966414,79454.53768620263
2020-05-10 00:00:00+00:00,49590.77976190476,63035.964864069196,46005.8890124461,80066.04071569229
2020-05-17 00:00:00+00:00,50926.97619047619,65146.331263034815,47780.03775215782,82512.62477391181
2020-05-24 00:00:00+00:00,47439.642857142855,63304.396720659635,45597.9599048416,81010.83353647767
2020-05-31 00:00:00+00:00,49527.607142857145,64159.06744805888,46106.81204823655,82211.32284788121
2020-06-07 00:00:00+00:00,48776.244047619046,66009.75185492099,47608.915324374175,84410.58838546781
2020-06-14 00:00:00+00:00,48219.744047619046,65779.20359779353,47025.90460342367,84532.5025921634
2020-06-21 00:00:00+00:00,49813.94642857143,66632.2460504577,47521.62503263787,85742.86706827753
2020-06-28 00:00:00+00:00,50480.79166666666,66087.69932763875,46616.75302552756,85558.64562974994
2020-07-05 00:00:00+00:00,51458.875,66455.82210569401,46620.77957378574,86290.86463760228
2020-07-12 00:00:00+00:00,51252.57738095238,64771.55290594234,44568.11303318327,84974.99277870142
2020-07-19 00:00:00+00:00,50896.18452380953,64472.870354962055,43897.914985274096,85047.82572465001
2020-07-26 00:00:00+00:00,50475.73809523809,65765.95137168464,44815.845842406256,86716.05690096303
2020-08-02 00:00:00+00:00,50049.392857142855,65696.93910284527,44367.77509557635,87026.10311011419
2020-08-09 00:00:00+00:00,49450.92261904762,65131.846141107926,43420.47062401875,86843.2216581971
2020-08-16 00:00:00+00:00,52076.73809523809,64414.60386215628,42317.52333612926,86511.68438818329
2020-08-23 00:00:00+00:00,51872.05952380953,65721.29841101423,43234.889943294314,88207.70687873414
2020-08-30 00:00:00+00:00,51653.375,65805.85824955744,42926.98330237866,88684.73319673621
2020-09-06 00:00:00+00:00,51617.744047619046,66284.18600070645,43009.48685190447,89558.88514950844
2020-09-13 00:00:00+00:00,51507.63095238096,66740.02129830612,43066.08993821232,90413.95265839992
2020-09-20 00:00:00+00:00,52181.32738095238,67963.43157238027,43887.1730792016,92039.69006555894
2020-09-27 00:00:00+00:00,53411.93452380953,67786.78102202641,43304.9636707013,92268.59837335152
2020-10-04 00:00:00+00:00,57410.319444444445,66182.17207323993,41291.55577076135,91072.7883757185
